adid,level,content,itemid,merchantid
Y0CQ6,other,,NKRP6,UEAU3
T4WN6,platinum,,QVT8S,XWXLZ
GQ8JT,gold,Whom local tend employee source.,KIE8I,JZ1WL
V49GW,other,,OEYRT,3DEPB
N9427,silver,,TZZSO,ZXBS8
9AFZA,other,Often late produce you true soldier.,GOA1X,MK3V5
VPUEM,platinum,,41BHM,F98VS
J82FF,silver,Painting create wife.,9T4E4,BL4U8
5GT9S,gold,Mean always beyond write.,ZOXPM,LBHMK
8N9S2,gold,Whom around put suddenly garden.,3KPDQ,XU609
YUPSL,platinum,From animal exactly drive.,Q0D8Y,61A69
CQ4EF,platinum,Close ask reduce.,LXLYF,77KUY
CF8Z7,silver,Speak themselves speech.,33GFY,CZ859
PN0R2,other,Wear individual about add senior woman.,JNSBK,PBHFC
WFUH5,silver,Next water voice travel among.,199SM,KSZOZ
PBRHO,silver,Character four smile responsibility.,1GR3D,6K1RV
V1DGJ,platinum,,Y3C35,W2FN3
8EBHM,gold,,WHQ8I,0R2KU
XHCBM,platinum,Assume be seek article.,F6H5A,4FD3N
4NDB8,other,Ask tell reduce total.,FCC2T,AP5ZX
QEOET,silver,,507OD,HQSNA
D63CG,other,,WJ5PN,YRL14
W4KND,platinum,Responsibility southern at be than.,MZ0U0,VZNU6
V7QH2,platinum,,N108C,CYGAE
06TWY,silver,,IW0J0,AZB2M
A3FVC,silver,,1BK15,IBCNI
4WSWI,silver,,51CTV,LJNGC
0FAMV,platinum,,6Y8W1,VJV2D
2Y0CZ,other,Indeed between similar safe.,XJHVB,G7ZYX
CK2EQ,platinum,,GT4Z5,5MYGN
59AC5,silver,,81W16,AWFGJ
3D0M9,gold,Cost both general where.,CCC53,6WQ8P
IAZ0U,gold,,GPBCG,SAZF9
A7GMH,platinum,Car federal indicate unit.,P0M0R,M2HT6
RLG4Z,gold,,P8ZJW,QLECR
2HQI7,silver,,QC9G0,3S3MN
JRBCC,platinum,This American either moment ok.,NUUZE,519G2
9UXC5,other,Audience energy move.,H2DRJ,3FLK5
X8LNY,silver,,ET0Q8,449OC
JRVVX,gold,,GPZPY,EBQH2
CCRKJ,silver,,O0B6O,A0B31
9ISH4,platinum,Cell of course its respond.,WD5M0,DAWJW
TL7ET,other,Can travel know smile home southern.,AJWGF,Z0LJU
T0GG9,other,,WA88F,5PQAC
VH4H5,other,,EQIA6,ZB7CT
VJKYF,gold,About pressure cell skill quite wife.,H0HZA,3XOCG
MODYA,gold,,CSBS6,XAY57
7S25N,other,,FZHDP,L3VKI
OQK1M,silver,,KHO60,OFOQB
B72MH,other,,OHX9M,Z0LJU
NCNJG,platinum,,9J1JV,QWK5C
X8JG5,platinum,Million push do pick.,7L11X,XV9E8
175U5,other,Speech theory choice.,2V1QS,84ZNK
M8OAV,silver,New clear these speak say.,YMYJO,8MZDC
C7JQJ,other,Decade firm section economic.,LBXAQ,AADER
4EF7C,gold,,BS6HD,G6G4D
CTA2V,platinum,Sea stuff no response.,Z97S2,RM38H
3X6Y7,gold,South run agree usually already bed.,MYA06,HFAMO
7E1NS,other,Sound war address morning explain.,K16BX,QR19G
4YOBA,platinum,,Z1G2E,QWAWV
QVE5Q,silver,Break word source wall drug.,SKF0K,7WHJR
YYDKI,platinum,,27SZF,E9K7C
VDC40,platinum,,1WT76,XWXLZ
FJW0C,other,,FNFQ2,0Z2LJ
DG4JB,gold,Film manage several dark.,9N9TR,FXVJ8
IUG9W,platinum,,JJGOO,ARWEB
5HD3V,gold,Fire subject west. Fire town worker.,JUHND,KGD5Z
SIYSH,platinum,,D7KEH,JCCF8
Z2XM3,silver,Red effect else very your choice.,I46YC,F1I7H
ECC5Q,gold,Possible lead draw learn city.,KLTHN,WHC3M
NOF67,other,Billion parent now from.,2BZ5H,CGC2X
HJ11F,gold,,LPFGP,92I2Y
G0JB2,other,Group strong back approach.,U4IT7,0C7T4
B5UQF,silver,,PXSIB,K3VTH
WBWWL,gold,So teach energy possible believe step.,4RTIO,3M1YI
OXEJN,gold,,YQACM,PRF6N
HASXB,platinum,Forget whom goal clear inside.,LYJZD,U29GK
L3H4W,silver,,6JEDO,X9W2Z
NXV4S,silver,Purpose here ago job.,8515L,S3AB0
9ULFG,silver,,72VJO,RPWW0
JIOU6,platinum,,PNV6Z,GLVQG
LSX0C,platinum,Necessary alone improve heart decade.,220YV,DDZV9
ZEEI0,silver,Clearly ahead career manage tonight.,KZLD4,VX9SU
J1TWF,platinum,,WJVR2,UFNUW
X7DY0,gold,,QM5R3,LQ8DW
U2NXS,other,,EEOKB,XMWLA
LGRH9,platinum,Trouble upon beautiful.,6SCTF,I8U4Z
2ZL01,platinum,,BEXSP,8LJTP
3V7JW,other,Different many water meeting future.,GDA7I,0R2KU
F4NSA,other,Discuss very score loss.,D26MW,BIVH0
ANTHT,platinum,,30BZP,JUDOH
4F5O8,other,,TLK9K,9CK79
BHRCA,silver,,B5PEW,U5R93
Z2GQW,silver,Him above bring.,37ZPB,QTM9A
MFCEQ,silver,Unit dinner indeed listen.,02YGN,SW1FA
H7PKE,other,Agreement girl happen front law.,QQEM3,PCL39
S7I7N,gold,,86J10,NQP88
8ZRS2,silver,Cell kid growth main use chance story.,E62DS,HYR8F
IKHHY,other,Garden free perform civil.,A0VN9,VRWGT
I9TW4,other,,9XKBX,VZNU6
56U5D,other,,ASJPL,HQF90
5DNBW,other,,X2J7P,UVBIT
A7EFZ,gold,,RGX5T,HYR8F
2XAMN,gold,,9P97R,XYUHX
HARSO,platinum,Phone nor as year look floor.,JXY8R,A8U7K
SMG13,silver,,M1GV3,YRL14
V01J2,platinum,Case yet between night western serious.,EFBHU,C0UHU
INL2W,other,,UGNRH,ISPDE
5YOM2,platinum,Produce foreign the site.,IQ1AH,AZQD3
DYCOF,platinum,,WU0G8,F98VS
LOTF6,silver,Skill industry old effect.,DS4GZ,BX2PI
W03D7,other,Relationship local air ball better.,YCMC6,6QJGV
5Q4NV,silver,,81FOL,SGSRE
DKWAS,gold,,KLB1H,TH583
1OZ9O,other,,THOFT,3O35F
1.70E+05,silver,,35P8T,HFAMO
GFUU8,other,Include herself hold his.,WRWM4,L20JI
QB7CM,silver,,R8VMO,V20LN
7WMMQ,silver,,M19FT,Q1X68
YQ4WP,gold,,3CC82,8MZDC
9EA35,other,,YZ6S4,MRY5A
0532H,gold,,JD0UD,DAWJW
GJ0N2,gold,Hotel matter guy great old.,ENKHD,CXDQI
9ZCLP,other,,KY2MI,IUWG8
RWU1G,silver,Approach today all.,FCPWW,1WI5Q
MS263,silver,,NCXHW,N7TIV
BHGL0,platinum,,X6B1N,3M1YI
A861D,gold,,7Q1IE,AP5ZX
RHWO8,silver,,6K3AB,JCCF8
PE7TU,platinum,,RGFOT,4Z5VC
4SKIA,silver,,F8X3C,NW0RD
BIZJL,gold,,GJM6C,QTM9A
N5NPI,platinum,Off little happy short during.,Y4RI7,BKW17
WI5GB,silver,,QFD9M,F5WTM
TAO9K,other,Religious your outside.,ZEJ0P,4FD3N
48UFQ,platinum,Walk draw front plan focus century.,30QV1,XWXLZ
MUSYD,platinum,,NBGBF,L8LC6
PV2OQ,silver,Page clear newspaper ball may.,I3HI7,UFNZK
TBW8D,platinum,,XA91K,FUR3X
5DBPC,gold,,9XJ21,9R01Y
UEDW1,platinum,Before open hot campaign throughout.,KV1DG,86J10
N21JW,silver,,WQ8M2,KR138
V0YA0,silver,Bank result peace reality evidence.,4PSLL,R8LB9
3CH0Y,platinum,,TUUJ5,P4FIZ
I6JFV,platinum,Might catch that trip.,D86Q5,4VDK3
LPBK9,platinum,Enter wind heavy anything.,GJKO5,QN99Y
1G3JC,silver,,3U4UW,SB3L6
YBC5F,silver,,DYM05,YRL14
J3P6W,platinum,Step have perform because.,FSCOL,8VI0V
ZVR5Z,gold,,A84FX,7B5PR
S94C8,silver,Choice chance of enter deep walk.,JC74R,7ERSM
C3ZHZ,silver,,6VNJH,142WW
BRCQS,platinum,Reflect soldier class personal quickly.,PG93O,BW3MU
7VYQN,gold,Ten will summer specific.,DFOCE,BSJMW
VP8WK,platinum,,ME6NS,LC3OK
ADJWX,silver,Their defense floor themselves she.,22V1Z,XAY57
U5Z1K,gold,Fear knowledge player down positive.,K9G6O,BV5DO
C2IVA,other,Member sign life successful season.,J348U,N169E
QME91,silver,Remain team body all financial.,IMK9T,ZST93
L7KEK,gold,Community study into job half black.,H7ZHD,K3UHS
8Y1RT,silver,,FR0CJ,0HC1E
RQ879,silver,Billion blue right.,TYQPS,ET59G
M1JA6,platinum,Early student range know.,8HNRI,MRY5A
YX3C9,other,Night administration but.,Q6Y9L,KVQRA
OBX7K,platinum,General simple cost develop left.,81CD0,5NRYI
5BPPR,platinum,Again big role stand consider.,CZ8HX,CVK2U
0E2P2,gold,Culture far share.,9PSME,4PJSD
K2E1Z,silver,,P3Q01,IP7TK
WUFTB,other,,GYBWK,DZC76
QMZY1,other,Pressure would truth.,J60K0,G7ZYX
C3WIR,silver,Produce list run safe.,KOPC4,05M7F
Z47IC,gold,Detail value plant nature day.,8XMVH,Z6UIX
WXAEM,gold,Around almost amount themselves test.,XYSW0,4UMXE
4CUBU,other,Cut beyond maintain bag.,F3WL1,ZST93
R0JJZ,silver,Not before painting sure whom.,68Q33,Y10ZO
KII4C,gold,Present carry break majority low.,4SGJZ,TJX73
YLWFF,platinum,Fly play pay real good.,FYKAL,LAAAV
MQUQQ,other,Hour whom inside establish son.,F851I,MQBSG
J29JC,platinum,Dinner write usually team remember.,CRJ9N,Z6UIX
CUEM3,platinum,Doctor nature cup whom poor send.,ETORL,Y10ZO
7KVI4,gold,Child investment yourself still.,JF1A2,3KFLS
7VAFG,other,Better child computer either.,ANXVB,DNCLE
2VY6X,gold,,4UAZW,426K8
BLIBV,platinum,,R912K,YAK94
DTYDK,silver,Remember rich yeah simple guess member.,Q1HVC,C9XKL
E0D2W,silver,Create agree likely off anything pick.,ADZWR,UDZHR
30LB3,silver,,NAA18,FWB4W
YEWGH,gold,,B53W6,RJWPA
LZAU3,other,,6EPJN,6WQ8P
D8ZQB,gold,Hospital machine cell cell.,8F2RM,6FWZI
FVWG4,gold,,W053N,U29GK
7SCAY,silver,,WBWBB,ZB7CT
9JKLK,platinum,Learn argue glass matter upon.,G2VQD,O83AN
VB4ZC,platinum,,CFGAT,ZST93
SVKPW,platinum,,QZ2C4,AZB2M
03XIY,gold,,ZOV7D,87U6Q
AYLJB,gold,She push serve rule thus.,N6Y1Y,4OUJ8
6ACDH,platinum,Simple as player use.,8FWGU,N5X40
YB01V,platinum,Up add subject research sell.,UZBBQ,J5PAC
X6N8Z,gold,,27ZOS,92I2Y
WG11P,other,,K2CD7,QR19G
ZP4ZE,silver,Concern reach every put.,M5XSS,J4F6P
7X8B4,platinum,,EALTD,OREG1
UZG8D,platinum,General college bed everybody.,N9B9M,ME7DC
B0Z1G,other,Speak lay born.,CCNGL,PV7VX
KKV40,platinum,Reality no work collection.,YPL86,WW2NM
S6HXW,platinum,Agree tax form great education.,9TOD4,K2VIU
47DMQ,platinum,Statement unit in baby.,DCF51,K2VIU
USYCS,other,,5ZS2Q,BX2PI
0RYNW,platinum,,L677M,ET59G
WKB1Z,other,,77X9V,J4F6P
E189I,platinum,,0EY1B,T40C2
KOB7I,other,,E1UZR,AWXDQ
SVH0Q,platinum,,OC8QZ,L20JI
6V8JY,silver,,V7WX2,LC3OK
YWY46,silver,Front bit style man story.,EERSR,K99E6
0GJJA,gold,Drop store could her movement.,LERI7,3LLAJ
N6HRK,other,,5HG8G,A8U7K
CAHX4,silver,,KWPI4,HGTUB
2XQ5O,platinum,Animal ready at order attention.,MLE0C,MJUC1
E6KBK,other,Clear prepare wear movement certainly.,GEEHM,A5WQ0
N2ZQB,platinum,Set test friend bill.,VK0WY,9R01Y
K2DYF,other,,VKZMC,JCA8Q
63C4G,silver,Write friend kitchen gas fly.,14NRE,0X722
59Z4Q,platinum,,U78VC,V20LN
XKTJ3,gold,Prevent news white.,ROJWJ,4UMXE
4Z09F,silver,,3Q97W,T21O4
HSJXG,platinum,Ten many fine so say.,GS3YH,3XOCG
DI9MA,gold,Scientist white better black.,RCBHZ,07RB8
95G49,silver,Of wind white message laugh billion.,OF17O,LBHMK
VGAPO,other,Strategy black cultural pull above us.,OSVJ1,9CR7S
TROA5,silver,Report necessary lawyer else behind.,LQA5A,L9Y33
6VFET,other,,N8552,142WW
XYJOS,platinum,Reason make knowledge during whom.,63J70,U29GK
4WSYI,gold,,MW9WK,CHM29
ZSG4S,gold,,61A62,85TQL
WPLV5,platinum,,NUGFJ,J4F6P
YY363,platinum,You out thus close. Some various watch.,A1793,3FLK5
6T5OU,gold,,C8TTN,FUR3X
UZO1D,gold,,KZZIF,XWXLZ
QMULH,platinum,Land house growth fish else.,AOREC,9FJ8S
XBOCA,other,You face ready.,LC7LK,0ZJZT
IHMF3,platinum,Look give sense fine street make.,JS28E,OPGY0
70E8L,platinum,,WK7XM,ZB7CT
0Y4A1,platinum,,7M555,7TOUB
CRBWX,silver,Film clearly decide officer sometimes.,BEXSP,8LJTP
I7FQG,gold,,HWFRW,Y2ZFL
JIYNU,platinum,,XDNR0,G7ZYX
6H9G4,gold,Special might wish street space human.,OTH73,EDOMX
24L39,silver,,XGZAA,1WI5Q
QYF6V,platinum,,1UJ0K,UEAU3
W40B2,gold,Speech pattern surface play.,BMMKP,8RY42
2O1PQ,other,,MDMS7,L8LC6
O2SX5,platinum,Lose trade different draw always now.,LZ3IZ,3M1YI
7FMT7,gold,Last dark power energy.,PYIE4,0WYR7
JVCVK,other,,8DLVE,6RCV4
M05MK,other,,Q13NU,H7FKP
V7MUL,other,,I04YY,R8LB9
U9MAC,gold,,RWUY0,P35EW
2OG71,silver,Hundred anything morning surface the.,P4FIZ,G06XS
V5MKX,silver,Choice their make eight.,6LAY9,HYR8F
Z2U3E,platinum,,2A0CU,Q9QW3
HJZ38,platinum,World police space specific.,CZIJG,FXVJ8
CBZNF,other,Measure value two east.,E6FLL,Z5WLW
08NAI,other,,IKCQ5,M63IT
88EF5,gold,,7AR0K,ZXBS8
XTFBP,gold,Thought whatever over structure.,DI1HA,BJLLH
6XJ3Q,gold,Require computer civil.,EHP5D,0QEPM
ROYY6,silver,,6DQJD,IBCNI
QFCJU,other,,IOTNG,4CXZQ
741UY,gold,,MQ6D2,CGC2X
IJBH1,platinum,,VULNG,KVJNB
RQYHW,silver,,IRZF9,87CKX
M88DV,gold,,C3UOQ,UOQ2K
5BQVI,silver,The manager major newspaper rock mind.,ZG4HN,4FD3N
G90EQ,gold,Well condition not who future people.,6ESUH,86J10
I5C7O,silver,,DOGKE,DPGAP
NLOZM,other,,D9SEE,SB3L6
RW9MN,other,Join reduce allow eat side.,048AF,QCIEZ
IR9AF,silver,,XDEYL,1MXH9
UCFAS,gold,,9VJN4,DRBJ8
RM69W,other,,AVNN3,CA969
680HF,other,Government big increase interest.,QFD9M,F5WTM
LSP1S,gold,,UMYSS,4UMXE
AREUU,silver,,UZVYN,IH8AP
P7IQD,other,,JV2CT,0Z2LJ
OQU85,other,Trial whose thus goal.,9S7LO,GVYOF
1XK7D,platinum,Firm instead dream surface.,6EZZ8,519G2
4YBPF,silver,,GP0RV,KVJNB
LI2AX,other,,K4R5Z,KSZOZ
P5SRZ,other,,JYKNH,V20LN
DK7WM,platinum,,7ZPZ2,51WHM
TJL9Q,gold,,EEOKB,XMWLA
0KP9I,platinum,Us likely machine.,OLHBA,C9PS9
7TB3M,gold,,69LDO,CCMQG
Y6YNY,other,,TQY08,UEVYS
F8AFA,platinum,You eight describe pattern.,TREMP,9FJ8S
2R0WZ,silver,Instead smile happen successful human.,HK6D7,9X7GU
KPNCD,gold,Only world various picture rule.,J4142,FUS1Y
P2I6S,gold,Office similar its foot tonight.,4M3R4,1149O
WWXT6,silver,,ZHNQD,E189I
4MZV4,silver,,34H2Q,KR138
4SVWY,other,Must point great tonight week like.,Z4P7G,19J34
6TPM1,platinum,,KHLLE,BV5DO
K6I78,other,Our wind painting.,CT5PR,7B5PR
Q1T37,gold,As his seven stock.,NV9W6,1XG6O
MQ3EB,platinum,Ahead glass way face manage.,PUDUJ,7CIPO
QANLL,silver,Money something move race special away.,4CXFK,HYR8F
RABBK,silver,With team front mother.,T8QOI,UP16N
IF79Z,silver,,6WUM5,TH583
PZ5XW,gold,Charge or put upon rather claim also.,MJXFW,P4FIZ
HBLA8,silver,,RQQTP,U4K0S
NYMUL,platinum,,1PMBX,MRY5A
J60OA,gold,,1MCPH,WUSF0
CI6F0,silver,,W6HFD,W2FN3
MDVIU,silver,,HRNR4,C0UHU
4VRE3,platinum,Program after last join.,F2VXY,UVBIT
6Q9Z2,other,Or like crime thank.,480VS,L8LC6
0IHHL,other,,M4FHX,84ZNK
G1QRH,silver,Movement event current cost.,1RC7O,6K1RV
8EACA,platinum,Authority else seek town.,PMSO2,7VWUB
0Y4BU,platinum,,SDD2W,HSQAJ
ZODN0,gold,,4QCGX,PV7VX
ZI9T0,other,Step test several news through way.,W6ST3,UP16N
8D28J,platinum,Address agent life true.,KLT06,PBHFC
KF4SR,silver,,4EPK7,3FKG7
AD7EA,silver,,NUU4G,X1CL7
J6IHV,gold,Office without some effort red forward.,YL4J5,Y10ZO
UJVEF,silver,,XWB18,9ZP9F
2V548,gold,,NU9ZJ,QWAWV
2YZ84,other,Professor difficult player last.,3BGXG,5MYGN
OJZ6U,platinum,Tell method together purpose either.,WMG3M,NBQEK
JJCYH,gold,Much camera spend.,2D9NJ,U5R93
TW4ZU,other,Child evidence local land cover.,WSRN1,UFNUW
O6CYX,silver,Yard give film question record.,SK50N,K3UHS
APE4H,silver,,6WWSZ,QN99Y
