accountid,itemid,datepurchased
PO4Q4,G9WMY,2022-07-11
PO4Q4,H7MCZ,2022-07-11
PO4Q4,NOF67,2022-07-11
PO4Q4,B210B,2022-07-11
PO4Q4,AOXEJ,2022-07-11
PO4Q4,L3H4W,2022-07-11
PO4Q4,G8TKY,2022-07-11
PO4Q4,BZEEI,2022-07-11
PO4Q4,7DY0A,2022-07-11
PO4Q4,J2ZL0,2022-07-11
PO4Q4,23ANT,2022-07-11
PO4Q4,RBHRC,2022-07-11
PO4Q4,FCEQT,2022-07-11
PO4Q4,N8G08,2022-07-11
PO4Q4,3I9TW,2022-07-11
3BADC,NBW4Z,2022-10-19
3BADC,SOJSM,2022-10-19
5D94C,NL2WY,2022-07-04
3BADC,FLXDL,2022-10-19
HLQ7U,9135Q,2022-06-15
HLQ7U,OZ9O3,2022-06-15
HLQ7U,FN7WM,2022-06-15
HLQ7U,EA352,2022-06-15
HLQ7U,N2E19,2022-06-15
HLQ7U,MS263,2022-06-15
HLQ7U,861DH,2022-06-15
HLQ7U,UOX4S,2022-06-15
HLQ7U,IN5NP,2022-06-15
HLQ7U,TAO9K,2022-06-15
HLQ7U,YDNCU,2022-06-15
HLQ7U,DJWB5,2022-06-15
HLQ7U,JWTLV,2022-06-15
HLQ7U,6JFVP,2022-06-15
HLQ7U,3JCQV,2022-06-15
5C0M1,ZVR5Z,2022-09-26
5C0M1,W5DBR,2022-09-26
5C0M1,P8WKJ,2022-09-26
5C0M1,Z1KAJ,2022-09-26
5C0M1,EKH68,2022-09-26
5C0M1,1JA6J,2022-09-26
5C0M1,W5BPP,2022-09-26
5C0M1,E1ZRQ,2022-09-26
5C0M1,YC3WI,2022-09-26
5C0M1,H84CU,2022-09-26
5C0M1,II4C7,2022-09-26
5C0M1,MQUQQ,2022-09-26
5C0M1,Q6S50,2022-09-26
5C0M1,3P37K,2022-09-26
OW0EP,W2VY6,2022-03-22
OW0EP,0DTYD,2022-03-22
OW0EP,30LB3,2022-03-22
OW0EP,AU395,2022-03-22
OW0EP,J7SCA,2022-03-22
OW0EP,4ZCOP,2022-03-22
OW0EP,KAYLJ,2022-03-22
OW0EP,VPIX6,2022-03-22
OW0EP,P4ZEQ,2022-03-22
OW0EP,DJZB0,2022-03-22
OW0EP,S6HXW,2022-03-22
OW0EP,CS91C,2022-03-22
OW0EP,E189I,2022-03-22
OW0EP,0QKV6,2022-03-22
OW0EP,0GJJA,2022-03-22
F95B8,4UG2X,2022-04-15
F95B8,70N2Z,2022-04-15
F95B8,63C4G,2022-04-15
F95B8,J3EE4,2022-04-15
F95B8,DI9MA,2022-04-15
F95B8,O5TRO,2022-04-15
F95B8,YJOSM,2022-04-15
F95B8,W1RWZ,2022-04-15
F95B8,YY363,2022-04-15
F95B8,1DC0F,2022-04-15
F28UM,MF3MA,2022-02-24
VM6YE,UIR9A,2022-09-15
VM6YE,M69W2,2022-09-15
PRQGM,SCBAR,2022-10-28
VM6YE,Y0ROQ,2022-09-15
QN8ZE,YBPFT,2022-03-05
VM6YE,14DK7,2022-09-15
VM6YE,KP9IK,2022-09-15
VM6YE,Y875G,2022-09-15
VM6YE,WZQEK,2022-09-15
VM6YE,I6SAJ,2022-09-15
0ZK3C,T2I4S,2022-10-27
VM6YE,6K6I7,2022-09-15
VM6YE,QANLL,2022-09-15
VM6YE,WF1HB,2022-09-15
VM6YE,60OAD,2022-09-15
VM6YE,MDVIU,2022-09-15
VM6YE,20K0I,2022-09-15
VM6YE,68EAC,2022-09-15
VM6YE,ODN0B,2022-09-15
VM6YE,INKF4,2022-09-15
VM6YE,6IHVA,2022-09-15
VM6YE,7FFU2,2022-09-15
VM6YE,JJCYH,2022-09-15
IDZE3,6CYXV,2022-10-12
IDZE3,WCXLV,2022-03-25
IDZE3,KC47K,2022-03-25
IDZE3,U1J61,2022-03-25
IDZE3,UPJQ9,2022-03-25
IDZE3,F85NS,2022-03-25
IDZE3,2T904,2022-03-25
IDZE3,GPBCG,2022-03-25
IDZE3,IIOQ5,2022-03-25
IDZE3,IRFRO,2022-03-25
IDZE3,OL3U2,2022-03-25
IDZE3,NS9ZE,2022-03-25
IDZE3,8MLEQ,2022-03-25
IDZE3,T270N,2022-03-25
IDZE3,GY0E9,2022-03-25
IDZE3,1ZQ4B,2022-03-25
IDZE3,34FRS,2022-03-25
IDZE3,I0PB5,2022-03-25
IDZE3,MMS71,2022-03-25
IDZE3,1QNHK,2022-03-25
IDZE3,GG5P7,2022-03-25
IDZE3,KPH7K,2022-03-25
IDZE3,RGR3Q,2022-03-25
IDZE3,SPNFJ,2022-03-25
IDZE3,8YMTG,2022-03-25
8DO01,2DS61,2022-03-25
IDZE3,4Q6ZI,2022-10-26
8DO01,UMV0I,2022-10-26
H6C82,F92IG,2022-10-26
785CE,YNQYO,2022-07-03
96A1O,U43QW,2022-03-25
H6C82,BG37L,2022-10-26
H6C82,NE5IF,2022-10-26
H6C82,SECFW,2022-06-02
96A1O,5JZ1Z,2022-06-02
96A1O,PFJZX,2022-10-24
T9ZSG,TLK9K,2022-09-04
B3OWC,JJDHJ,2022-04-05
5FUOS,J52AU,2022-08-12
CX5HZ,VI9XK,2022-09-21
T9ZSG,7CT21,2022-09-04
T9ZSG,RMHWY,2022-09-04
T9ZSG,P8ENU,2022-09-04
T9ZSG,BDMK5,2022-09-04
T9ZSG,8OTA0,2022-09-04
HJYAF,ZA1O1,2022-10-19
T9ZSG,YLO9G,2022-09-04
