itemid,name,price,category,description,merchantid,datelisted
W1UN9,Housing 525118256,1254.63,Housing,,G6UPG,2022-06-13
TW1LD,Housing 967191756,1209.81,Housing,,8K3RE,2022-02-24
DKKV7,Housing 617197180,857.98,Housing,,R2YNB,2022-02-06
QJ9A3,Housing 569184281,31.51,Housing,,1149O,2022-04-08
Q9UXC,Housing 831114098,1063.37,Housing,"Unbox the package to find a soft, plush, sparkly doll!",TH5WQ,2022-05-09
PDTL7,Housing 70820942,1301.85,Housing,,SB3L6,2022-05-18
JG5JZ,Housing 585149584,42.4,Housing,for everyday use,AXYFV,2022-06-21
AVUUC,Housing 78153811,1763.24,Housing,For everyday office use,GPYLB,2022-04-12
H7MCZ,Housing 91864287,1144.77,Housing,,0BMS5,2022-05-10
G8TKY,Housing 54365170,1818.79,Housing,100% Synthetic,6IPKS,2022-02-25
N8G08,Housing 88022122,891.13,Housing,"Daily use helps to clean the skin, effectively eliminating acne and blackhead",0V5C9,2022-08-01
FN7WM,Housing 9897486,734.37,Housing,,JWXSS,2022-01-13
IN5NP,Housing 53574502,1892.8,Housing,for everyday use,05M7F,2022-02-01
JWTLV,Housing 905192427,70.96,Housing,,4Z5VC,2022-07-22
6JFVP,Housing 67290475,722.72,Housing,,PVB4C,2022-03-25
Z1KAJ,Housing 710197721,1688.41,Housing,,AWFGJ,2022-05-19
EKH68,Housing 812139875,1160.84,Housing,100% Synthetic,1JA6J,2022-05-06
II4C7,Housing 903105872,652.13,Housing,For your lovely pet,RSBL9,2022-10-01
MQUQQ,Housing 76356979,351.56,Housing,"Unbox the package to find a soft, plush, sparkly doll!",078O0,2022-05-25
Q6S50,Housing 687193994,158.9,Housing,One of a kind stainless steel,PV7VX,2022-03-06
S6HXW,Housing 882123634,801.6,Housing,"Unbox the package to find a soft, plush, sparkly doll!",NUPCW,2022-05-24
63C4G,Housing 669192836,1143.9,Housing,for everyday use,QTM9A,2022-07-31
DI9MA,Housing 60464898,608.3,Housing,Imported,F1I7H,2022-04-11
YJOSM,Housing 70261153,1852.16,Housing,"Daily use helps to clean the skin, effectively eliminating acne and blackhead",XWXLZ,2022-09-09
CVK3Y,Housing 577148115,1464.51,Housing,,MK3V5,2022-03-07
G71SV,Housing 712116937,1148.93,Housing,One of a kind stainless steel,6ZG2P,2022-10-26
HJZ38,Housing 71425651,1073.99,Housing,For everyday office use,N169E,2022-09-20
FCJU5,Housing 812163580,1624.65,Housing,For your lovely pet,7CIPO,2022-02-15
OWG9N,Housing 75265393,499.18,Housing,100% Synthetic,OZBPO,2022-07-03
M69W2,Housing 75520599,1475.71,Housing,,0V5C9,2022-05-01
YBPFT,Housing 85489385,85.64,Housing,For your lovely pet,GPYLB,2022-03-01
Y875G,Housing 860172109,67.25,Housing,For everyday office use,JUDOH,2022-10-15
I6SAJ,Housing 99441242,1512.92,Housing,Set of 12,YRL14,2022-02-22
